Variant SKU,Title,Image Column,Original URL,Local Filename,Local Path,Spoke colour,Hub colour,Rim colour,Price
ENVY-DID SILVER-COPPER,ENVY-DID SILVER-COPPER,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY_DID-SILVER-COPPER-PAIR-1.jpg?v=1742604046,ENVY_DID-SILVER-COPPER-PAIR-1.jpg,assets\images\envy-did\ENVY_DID-SILVER-COPPER-PAIR-1.jpg,Silver,Copper,Silver,10.5
ENVY-DID SILVER-PURPLE,ENVY-DID SILVER-PURPLE,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY_DID-SILVER_PURPLE-PAIR-1.jpg?v=1742603892,ENVY_DID-SILVER_PURPLE-PAIR-1.jpg,assets\images\envy-did\ENVY_DID-SILVER_PURPLE-PAIR-1.jpg,Silver,Purple,Silver,10.5
ENVY-DID SILVER-PURPLE,ENVY-DID SILVER-PURPLE,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY_DID-SILVER_PURPLE-PAIR-1.jpg?v=1742603892,ENVY_DID-SILVER_PURPLE-PAIR-1.jpg,assets\images\envy-did\ENVY_DID-SILVER_PURPLE-PAIR-1.jpg,Silver,Purple,Silver,10.5
ENVY-DID GOLD-FACTORY,ENVY-DID GOLD-FACTORY,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_FACTORY-PAIR-1.jpg?v=1742602976,ENVY-DID-GOLD_FACTORY-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_FACTORY-PAIR-1.jpg,Silver,Factory,Gold,10.5
ENVY-DID GOLD-FACTORY,ENVY-DID GOLD-FACTORY,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_FACTORY-PAIR-1.jpg?v=1742602976,ENVY-DID-GOLD_FACTORY-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_FACTORY-PAIR-1.jpg,Silver,Factory,Gold,10.5
ENVY-DID GOLD-COPPER,ENVY-DID GOLD-COPPER,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_COPPER-PAIR-1.jpg?v=1742602834,ENVY-DID_GOLD_COPPER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_COPPER-PAIR-1.jpg,Silver,Copper,Gold,10.5
ENVY-DID GOLD-COPPER,ENVY-DID GOLD-COPPER,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_COPPER-PAIR-1.jpg?v=1742602834,ENVY-DID_GOLD_COPPER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_COPPER-PAIR-1.jpg,Silver,Copper,Gold,10.5
ENVY-DID GOLD-MAG,ENVY-DID GOLD-MAG,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_MAG-PAIR-1.jpg?v=1742602657,ENVY-DID_GOLD_MAG-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_MAG-PAIR-1.jpg,Silver,Mag,Gold,10.5
ENVY-DID GOLD-MAG,ENVY-DID GOLD-MAG,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_MAG-PAIR-1.jpg?v=1742602657,ENVY-DID_GOLD_MAG-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_MAG-PAIR-1.jpg,Silver,Mag,Gold,10.5
ENVY-DID GOLD-PURPLE,ENVY-DID GOLD-PURPLE,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_PURPLE-PAIR-1.jpg?v=1742602535,ENVY-DID_GOLD_PURPLE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_PURPLE-PAIR-1.jpg,Silver,Purple,Gold,10.5
ENVY-DID GOLD-PURPLE,ENVY-DID GOLD-PURPLE,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_PURPLE-PAIR-1.jpg?v=1742602535,ENVY-DID_GOLD_PURPLE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_PURPLE-PAIR-1.jpg,Silver,Purple,Gold,10.5
ENVY-DID GOLD-RED,ENVY-DID GOLD-RED,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_RED-PAIR-1.jpg?v=1742602430,ENVY-DID_GOLD_RED-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_RED-PAIR-1.jpg,Silver,Red,Gold,10.5
ENVY-DID GOLD-RED,ENVY-DID GOLD-RED,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_GOLD_RED-PAIR-1.jpg?v=1742602430,ENVY-DID_GOLD_RED-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_GOLD_RED-PAIR-1.jpg,Silver,Red,Gold,10.5
ENVY-DID GOLD-BLACK,ENVY-DID GOLD-BLACK,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_BLACK-PAIR-1.jpg?v=1742602134,ENVY-DID-GOLD_BLACK-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_BLACK-PAIR-1.jpg,Silver,Black,Gold,10.5
ENVY-DID GOLD-BLACK,ENVY-DID GOLD-BLACK,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_BLACK-PAIR-1.jpg?v=1742602134,ENVY-DID-GOLD_BLACK-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_BLACK-PAIR-1.jpg,Silver,Black,Gold,10.5
ENVY-DID BLUE-COPPER,ENVY-DID BLUE-COPPER,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_COPPER-PAIR-1.jpg?v=1742600216,ENVY-DID-BLUE_COPPER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_COPPER-PAIR-1.jpg,Silver,Copper,Blue,10.5
ENVY-DID BLUE-COPPER,ENVY-DID BLUE-COPPER,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_COPPER-PAIR-1.jpg?v=1742600216,ENVY-DID-BLUE_COPPER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_COPPER-PAIR-1.jpg,Silver,Copper,Blue,10.5
ENVY-DID BLUE-FACTORY,ENVY-DID BLUE-FACTORY,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_FACTORY-PAIR-1.jpg?v=1742598364,ENVY-DID-BLUE_FACTORY-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_FACTORY-PAIR-1.jpg,Silver,Factory,Blue,10.5
ENVY-DID BLUE-FACTORY,ENVY-DID BLUE-FACTORY,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_FACTORY-PAIR-1.jpg?v=1742598364,ENVY-DID-BLUE_FACTORY-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_FACTORY-PAIR-1.jpg,Silver,Factory,Blue,10.5
ENVY-DID BLUE-MAG,ENVY-DID BLUE-MAG,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_MAG-PAIR-1.jpg?v=1742598287,ENVY-DID-BLUE_MAG-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_MAG-PAIR-1.jpg,Silver,Mag,Blue,10.5
ENVY-DID BLUE-MAG,ENVY-DID BLUE-MAG,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_MAG-PAIR-1.jpg?v=1742598287,ENVY-DID-BLUE_MAG-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_MAG-PAIR-1.jpg,Silver,Mag,Blue,10.5
ENVY-DID BLUE-PURPLE,ENVY-DID BLUE-PURPLE,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_PURPLE-PAIR-1.jpg?v=1742598050,ENVY-DID-BLUE_PURPLE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_PURPLE-PAIR-1.jpg,Silver,Purple,Blue,10.5
ENVY-DID BLUE-PURPLE,ENVY-DID BLUE-PURPLE,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_PURPLE-PAIR-1.jpg?v=1742598050,ENVY-DID-BLUE_PURPLE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_PURPLE-PAIR-1.jpg,Silver,Purple,Blue,10.5
ENVY-DID BLUE-RED,ENVY-DID BLUE-RED,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_BLUE_RED-PAIR-1.jpg?v=1742597909,ENVY-DID_BLUE_RED-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_BLUE_RED-PAIR-1.jpg,Silver,Red,Blue,10.5
ENVY-DID BLUE-RED,ENVY-DID BLUE-RED,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID_BLUE_RED-PAIR-1.jpg?v=1742597909,ENVY-DID_BLUE_RED-PAIR-1.jpg,assets\images\envy-did\ENVY-DID_BLUE_RED-PAIR-1.jpg,Silver,Red,Blue,10.5
ENVY-DID BLUE-BLACK,ENVY-DID BLUE-BLACK,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY_DID-BLUE_BLACK-PAIR-1.jpg?v=1742597277,ENVY_DID-BLUE_BLACK-PAIR-1.jpg,assets\images\envy-did\ENVY_DID-BLUE_BLACK-PAIR-1.jpg,Silver,Black,Blue,10.5
ENVY-DID BLUE-BLACK,ENVY-DID BLUE-BLACK,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY_DID-BLUE_BLACK-PAIR-1.jpg?v=1742597277,ENVY_DID-BLUE_BLACK-PAIR-1.jpg,assets\images\envy-did\ENVY_DID-BLUE_BLACK-PAIR-1.jpg,Silver,Black,Blue,10.5
